apropia1,apropia2,apropia3,contexto4,contexto5,contexto6,contexto7,articula8,articula9,articula10,articula11,articula12,articula13,articula14,flexible15,flexible16,implementa17,implementa18,implementa19,implementa20
no,si,si,si,no,no,si,si,no,no,no,no,no,no,si,no,si,si,si,si
no ,si,si,si,si,no,si,si,no,no,no,no,si,si,si,no,si,si,si,si
no,si,si,si,si,si,si,si,no,no,si,si,si,si,si,no,no,si,si,si
no,si,no,si,no,si,si,no,si,si ,no,no,no,no,si,si,si,si,si,si
no,si,no,si,no,si,si,no,si,si ,si,si,si,si,si,si,si,no,no,si
no,no,si,si,no,si,si,no,no,si ,si,no,si,si,si,no,si,no,si,si
no,no,si,si,si,si,si,si,no,no,si,si,no,no,si,si,si,si,si,si
no,no,si,si,si,si,si,si,no,no,si,no,si,si,si,si,si,si,si,si
no,si,si,si,no,no,si,si,no,si ,si,si,si,si,si,si,si,si,si,si
no,si,si,si,no,no,si,si,no,si ,si,si,si,si,si,si,si,no,si,si
no,si,si,si,si,no,si,si,no,si ,si,si,si,si,no,si,si,no,si,si
no,si,no,si,si,si,si,si,no,si ,si,si,no,si,si,si,no,si,no,si
no,si,si,si,si,si,si,si,no,no,si,si,si,si,si,no,no,si,no,si
no,si,si,si,no,si,si,no,no,si ,si,si,si,si,si,si,si,si,si,si
no,si,si,no,no,si,si,no,si,si ,si,si,si,si,si,si,no,si,si,si
no,si,si,si,no,si,si,no,no,si ,si,si,si,si,si,no,si,si,si,si
no,si,no,si,si,si,si,si,si,no,si,si,si,si,si,si,si,si,si,si
no,no,si,si,si,si,si,si,si,si,si,no,si,si,si,si,no,si,si,si
no,si,no,si,si,no,si,si,no,no,si,no,si,si,si,si,si,si,si,si
no,si,si,si,si,si,si,si,si,si,si,si,si,si,si,no,no,si,si,si
no,si,si,si,si,si,si,si,no,no,si,si,no,si,si,si,no,si,si,si
si,si,si,si,si,si,si,no,no,si,si,si,si,si,si,si,no,no,si,si
no,si,si,si,si,si,si,si,no,si,si,si,no,si,si,si,no,si,si,si
no,si,si,si,si,si,si,no,no,si,si,si,no,si,si,si,no,si,si,si
no,si,si,si,si,si,si,si,no,si,si,si,no,si,si,si,si,no,si,si
no,si,no,si,si,si,si,si,no,no,si,si,si,si,si,si,si,no,si,no
si,si,si,si,si,si,si,si,si,no,si,si,si,si,si,no,si,si,si,si
no,si,si ,no,no,no,no,si,no,si,si,si,si,si,si,no,no,si,si,si
no,si,si ,si ,si ,si ,si ,no,no,si,si,no,si,si,no,si,no,si,si,si
no,si,no,si ,si ,si ,si ,si ,no,no,si,si,si,si,no,si,si,si,si,si
no,si,si,si,no,no,si,no,si,si,si,si,si,si,si,si,no,si,si,si
no,si,si,si,no,si,si,no,no,si,si,no,si,si,no,si,no,si,si,si
no,si,si,si,si,si,si,si,no,si,si,si,no,si,si,si,no,si,si,si
no,no,no,si,si,si,si,si,no,no,si,no,si,si,si,si,no,si,si,si
no,si,si,si,si,si,si,si,no,no,si,no,si,si,si,si,si,no,si,si
si,si,si,no,no,no,si,si,no,si,si,si,si,si,si,si,si,si,si,si
no,si,si,si,si,si,si,si,no,si,si,si,si,si,no,si,no,si,si,si
no,si,si,si,si,si,si,si,no,si,si,si,si,si,no,si,si,si,si,si
